person1 (on DL card),person2 (on camera images),person1 == person2 [actual],person1 == person2 [predicted]
George_Galloway,George_Galloway,True,True
George_Galloway,George_Galloway,True,False
Geraldine_Chaplin,Geraldine_Chaplin,True,True
Geraldine_Chaplin,Geraldine_Chaplin,True,True
Geraldine_Chaplin,Geraldine_Chaplin,True,True
Gerardo_Gambala,Gerardo_Gambala,True,True
Gian_Marco,Gian_Marco,True,True
Gian_Marco,Gian_Marco,True,True
Gillian_Anderson,Gillian_Anderson,True,True
Gordon_Brown,Gordon_Brown,True,True
Gordon_Brown,Gordon_Brown,True,True
Grant_Hackett,Grant_Hackett,True,True
Grant_Hackett,Grant_Hackett,True,True
Grant_Hackett,Grant_Hackett,True,True
Gray_Davis,Gray_Davis,True,True
Gray_Davis,Gray_Davis,True,True
Gregg_Popovich,Gregg_Popovich,True,True
Gregg_Popovich,Gregg_Popovich,True,True
Guy_Ritchie,Guy_Ritchie,True,False
Hamzah_Haz,Hamzah_Haz,True,True
Harbhajan_Singh,Harbhajan_Singh,True,True
Hootie_Johnson,Hootie_Johnson,True,False
Hugo_Chavez,Hugo_Chavez,True,False
Hugo_Chavez,Hugo_Chavez,True,True
Hugo_Chavez,Hugo_Chavez,True,True
Hugo_Chavez,Hugo_Chavez,True,True
Hugo_Chavez,Hugo_Chavez,True,True
Isaiah_Washington,Isaiah_Washington,True,False
Jack_Grubman,Jack_Grubman,True,True
Jacques_Rogge,Jacques_Rogge,True,True
Jacques_Rogge,Jacques_Rogge,True,True
Jacques_Rogge,Jacques_Rogge,True,True
Jacques_Rogge,Jacques_Rogge,True,True
Jacques_Rogge,Jacques_Rogge,True,True
Jacques_Rogge,Jacques_Rogge,True,True
Jacques_Rogge,Jacques_Rogge,True,True
James_Caan,James_Caan,True,True
James_Caan,James_Caan,True,True
James_Caan,James_Caan,True,True
James_Jones,James_Jones,True,False
Jamling_Norgay,Jamling_Norgay,True,True
Janica_Kostelic,Janica_Kostelic,True,True
Jeanne_Moreau,Jeanne_Moreau,True,True
Jeffrey_Archer,Jeffrey_Archer,True,False
Jennifer_Garner,Jennifer_Garner,True,True
Jennifer_Garner,Jennifer_Garner,True,False
Jennifer_Garner,Jennifer_Garner,True,True
Jennifer_Garner,Jennifer_Garner,True,True
Jennifer_Garner,Jennifer_Garner,True,True
Jennifer_Garner,Jennifer_Garner,True,True
Jeremy_Greenstock,Jeremy_Greenstock,True,True
Jeremy_Greenstock,Jeremy_Greenstock,True,True
Jeremy_Greenstock,Jeremy_Greenstock,True,True
Jeremy_Greenstock,Jeremy_Greenstock,True,True
Jeremy_Greenstock,Jeremy_Greenstock,True,True
Jessica_Lange,Jessica_Lange,True,True
Jimmy_Carter,Jimmy_Carter,True,True
Jimmy_Carter,Jimmy_Carter,True,True
Jimmy_Carter,Jimmy_Carter,True,True
Jimmy_Carter,Jimmy_Carter,True,True
Jodie_Foster,Jodie_Foster,True,True
John_Manley,John_Manley,True,False
John_Manley,John_Manley,True,True
John_McCain,John_McCain,True,True
John_McCain,John_McCain,True,True
John_McCain,John_McCain,True,True
John_Snow,John_Snow,True,True
John_Snow,John_Snow,True,True
John_Snow,John_Snow,True,False
Johnson_Panjaitan,Johnson_Panjaitan,True,True
Jorge_Castaneda,Jorge_Castaneda,True,True
Jose_Serra,Jose_Serra,True,True
Jose_Serra,Jose_Serra,True,True
Jose_Serra,Jose_Serra,True,True
Jose_Serra,Jose_Serra,True,True
Jose_Serra,Jose_Serra,True,True
Jose_Theodore,Jose_Theodore,True,True
Joseph_Blatter,Joseph_Blatter,True,False
Joseph_Ralston,Joseph_Ralston,True,True
Juan_Pablo_Montoya,Juan_Pablo_Montoya,True,False
Juan_Pablo_Montoya,Juan_Pablo_Montoya,True,True
Juan_Pablo_Montoya,Juan_Pablo_Montoya,True,False
Julianna_Margulies,Julianna_Margulies,True,True
Justin_Guarini,Justin_Guarini,True,True
Justin_Guarini,Justin_Guarini,True,True
Justine_Henin,Justine_Henin,True,True
Kate_Winslet,Kate_Winslet,True,True
Kate_Winslet,Kate_Winslet,True,True
Kate_Winslet,Kate_Winslet,True,False
Kate_Winslet,Kate_Winslet,True,False
Kathy_Winters,Kathy_Winters,True,True
Kelvin_Sampson,Kelvin_Sampson,True,True
Kevin_Stallings,Kevin_Stallings,True,False
Kim_Jong-Il,Kim_Jong-Il,True,True
Kristin_Davis,Kristin_Davis,True,True
Kristin_Davis,Kristin_Davis,True,True
Lance_Armstrong,Lance_Armstrong,True,True
Lance_Armstrong,Lance_Armstrong,True,False
Lance_Armstrong,Lance_Armstrong,True,True
Lance_Armstrong,Lance_Armstrong,True,True
Lance_Armstrong,Lance_Armstrong,True,False
Laurent_Jalabert,Laurent_Jalabert,True,False
Lindsey_Graham,Lindsey_Graham,True,True
Lisa_Gottsegen,Lisa_Gottsegen,True,True
Lleyton_Hewitt,Lleyton_Hewitt,True,True
Lleyton_Hewitt,Lleyton_Hewitt,True,True
Lleyton_Hewitt,Lleyton_Hewitt,True,True
Lleyton_Hewitt,Lleyton_Hewitt,True,True
Luis_Ernesto_Derbez_Bautista,Luis_Ernesto_Derbez_Bautista,True,True
Mario_Dumont,Mario_Dumont,True,False
Mark_Wahlberg,Mark_Wahlberg,True,False
Mark_Wahlberg,Mark_Wahlberg,True,False
Mark_Wahlberg,Mark_Wahlberg,True,False
Marlene_Weingartner,Marlene_Weingartner,True,False
Martha_Bowen,Martha_Bowen,True,True
Martin_Cauchon,Martin_Cauchon,True,True
Martin_Hoellwarth,Martin_Hoellwarth,True,False
Martin_Sheen,Martin_Sheen,True,True
Matthew_Broderick,Matthew_Broderick,True,True
Matthew_Broderick,Matthew_Broderick,True,True
Mike_Krzyzewski,Mike_Krzyzewski,True,True
Mikhail_Gorbachev,Mikhail_Gorbachev,True,True
Monica_Bellucci,Monica_Bellucci,True,True
Monica_Bellucci,Monica_Bellucci,True,True
Naomi_Campbell,Naomi_Campbell,True,True
Nestor_Kirchner,Nestor_Kirchner,True,True
Nestor_Kirchner,Nestor_Kirchner,True,True
Nestor_Kirchner,Nestor_Kirchner,True,True
Nicolas_Lapentti,Nicolas_Lapentti,True,True
Noah_Wyle,Noah_Wyle,True,True
Nora_Bendijo,Nora_Bendijo,True,True
Nursultan_Nazarbayev,Nursultan_Nazarbayev,True,False
Pamela_Anderson,Pamela_Anderson,True,True
Pamela_Anderson,Pamela_Anderson,True,True
Patricia_Heaton,Patricia_Heaton,True,True
Patty_Schnyder,Patty_Schnyder,True,True
Patty_Schnyder,Patty_Schnyder,True,True
Patty_Schnyder,Patty_Schnyder,True,True
Patty_Schnyder,Patty_Schnyder,True,True
Paul_Bremer,Paul_Bremer,True,True
Paul_Bremer,Paul_Bremer,True,True
Paul_Bremer,Paul_Bremer,True,True
Paul_Bremer,Paul_Bremer,True,True
Paul_Sarbanes,Paul_Sarbanes,True,True
Paul_Sarbanes,Paul_Sarbanes,True,True
Paul_William_Hurley,Paul_William_Hurley,True,True
Pervez_Musharraf,Pervez_Musharraf,True,True
Pervez_Musharraf,Pervez_Musharraf,True,True
Pervez_Musharraf,Pervez_Musharraf,True,True
Pervez_Musharraf,Pervez_Musharraf,True,True
Pervez_Musharraf,Pervez_Musharraf,True,False
Pervez_Musharraf,Pervez_Musharraf,True,False
Phil_Gramm,Phil_Gramm,True,False
Prince_Edward,Prince_Edward,True,True
Ricardo_Lagos,Ricardo_Lagos,True,True
Ricardo_Lagos,Ricardo_Lagos,True,True
Ricardo_Monasterio,Ricardo_Monasterio,True,True
Rich_Gannon,Rich_Gannon,True,True
Rick_Perry,Rick_Perry,True,True
Rick_Perry,Rick_Perry,True,True
Rick_Perry,Rick_Perry,True,True
Rick_Perry,Rick_Perry,True,True
Robert_Bonner,Robert_Bonner,True,True
Robert_Evans,Robert_Evans,True,True
Robert_Fico,Robert_Fico,True,True
Romano_Prodi,Romano_Prodi,True,False
Roy_Moore,Roy_Moore,True,True
Roy_Moore,Roy_Moore,True,False
Sachiko_Yamada,Sachiko_Yamada,True,True
Sachiko_Yamada,Sachiko_Yamada,True,True
Sachiko_Yamada,Sachiko_Yamada,True,True
Sachiko_Yamada,Sachiko_Yamada,True,True
Saeb_Erekat,Saeb_Erekat,True,False
Sam_Bith,Sam_Bith,True,True
Sam_Bith,Sam_Bith,True,True
Sam_Bith,Sam_Bith,True,True
Sean_Hayes,Sean_Hayes,True,True
Sergio_Garcia,Sergio_Garcia,True,True
Silvia_Farina_Elia,Silvia_Farina_Elia,True,True
Steve_Ballmer,Steve_Ballmer,True,True
Steve_Ballmer,Steve_Ballmer,True,True
Stockard_Channing,Stockard_Channing,True,True
Stockard_Channing,Stockard_Channing,True,True
Terry_McAuliffe,Terry_McAuliffe,True,True
Terry_McAuliffe,Terry_McAuliffe,True,True
Thomas_Rupprath,Thomas_Rupprath,True,False
Thomas_Rupprath,Thomas_Rupprath,True,True
Tom_Ridge,Tom_Ridge,True,True
Tom_Ridge,Tom_Ridge,True,True
Tom_Ridge,Tom_Ridge,True,True
Tom_Ridge,Tom_Ridge,True,True
Tommy_Haas,Tommy_Haas,True,True
Tommy_Thompson,Tommy_Thompson,True,True
Tommy_Thompson,Tommy_Thompson,True,True
Tommy_Thompson,Tommy_Thompson,True,True
Tommy_Thompson,Tommy_Thompson,True,True
Tommy_Thompson,Tommy_Thompson,True,True
Tomoko_Hagiwara,Tomoko_Hagiwara,True,True
Trent_Lott,Trent_Lott,True,True
Trent_Lott,Trent_Lott,True,True
Trent_Lott,Trent_Lott,True,False
Trent_Lott,Trent_Lott,True,True
Trent_Lott,Trent_Lott,True,True
Trent_Lott,Trent_Lott,True,False
Tsutomu_Takebe,Tsutomu_Takebe,True,True
Tyler_Hamilton,Tyler_Hamilton,True,True
Tyra_Banks,Tyra_Banks,True,True
Vaclav_Havel,Vaclav_Havel,True,True
Vaclav_Havel,Vaclav_Havel,True,True
Vaclav_Havel,Vaclav_Havel,True,True
Vaclav_Havel,Vaclav_Havel,True,True
Vaclav_Havel,Vaclav_Havel,True,True
Valerie_Harper,Valerie_Harper,True,False
Vince_Carter,Vince_Carter,True,True
Vincent_Brooks,Vincent_Brooks,True,False
Vincent_Brooks,Vincent_Brooks,True,True
Vincent_Brooks,Vincent_Brooks,True,True
Vincent_Brooks,Vincent_Brooks,True,True
Vincent_Gallo,Vincent_Gallo,True,True
Vitali_Klitschko,Vitali_Klitschko,True,True
Vitali_Klitschko,Vitali_Klitschko,True,True
William_Macy,William_Macy,True,True
William_Macy,William_Macy,True,False
William_Macy,William_Macy,True,True
Woody_Allen,Woody_Allen,True,False
Woody_Allen,Woody_Allen,True,True
Yukiko_Okudo,Yukiko_Okudo,True,True
Zico,Zico,True,True
Zico,Zico,True,True
Abdel_Madi_Shabneh,Dean_Barker,False,True
Abdel_Madi_Shabneh,Giancarlo_Fisichella,False,False
Abdel_Madi_Shabneh,Mikhail_Gorbachev,False,False
Abdul_Rahman,Portia_de_Rossi,False,False
Abel_Pacheco,Jong_Thae_Hwa,False,True
Abel_Pacheco,Jean-Francois_Lemounier,False,True
Afton_Smith,Dwayne_Wade,False,True
Ahmad_Jbarah,James_Comey,False,False
Akhmed_Zakayev,Donna_Morrissey,False,False
Alan_Dershowitz,Bertrand_Bonello,False,False
Alanis_Morissette,Martin_Cauchon,False,False
Alexander_Lukashenko,Heather_Chinnock,False,False
Alfonso_Cuaron,Jason_Priestley,False,False
Alfonso_Cuaron,Patty_Schnyder,False,False
Alfonso_Soriano,Bill_Nelson,False,False
Alfonso_Soriano,Julio_De_Brun,False,False
Alfonso_Soriano,Patty_Schnyder,False,False
Alonzo_Mourning,Cecilia_Cheung,False,False
Amber_Tamblyn,Benjamin_Netanyahu,False,False
Amporn_Falise,Joe_Pantoliano,False,False
Anders_Fogh_Rasmussen,Johnson_Panjaitan,False,True
Andre_Bucher,Joseph_Ralston,False,False
Andre_Bucher,Maria_Garcia,False,False
Andrew_Gilligan,Henry_Castellanos,False,False
Andrew_Shutley,Edmund_Stoiber,False,False
Andrew_Shutley,Mitchell_Swartz,False,False
Andrew_Shutley,Saeb_Erekat,False,False
Andy_Dick,Simon_Yam,False,False
Andy_Griffith,Osrat_Iosef,False,False
Andy_Wisecarver,Dimitar_Berbatov,False,False
Angela_Lansbury,Steven_Van_Zandt,False,False
Angela_Lansbury,John_Coomber,False,True
Ann_Veneman,Sergio_Garcia,False,False
Ann_Veneman,Ted_Williams,False,False
Annie-Jeanne_Reynaud,SJ_Twu,False,False
Anthony_Carter,Eliza_Dushku,False,False
Antonio_Cassano,Paul_Celluci,False,False
Anwar_Ibrahim,David_Alpay,False,False
Armand_Sargen,Daryl_Sabara,False,False
Armand_Sargen,Kelvin_Sampson,False,False
Armand_Sargen,Lisa_Gottsegen,False,False
Atom_Egoyan,Bill_Stapleton,False,False
Atom_Egoyan,Janis_Ruth_Coulter,False,False
Barbara_Brezigar,Doris_Roberts,False,True
Barbara_Felt-Miller,Leticia_Dolera,False,True
Bart_Freundlich,Ernie_Grunfeld,False,False
Bart_Freundlich,Kirsten_Gilham,False,False
Benjamin_Martinez,Garry_McCoy,False,False
Benjamin_Netanyahu,Maria_Callas,False,False
Benjamin_Netanyahu,Frank_Beamer,False,False
Bernard_Law,Liu_Xiaoqing,False,False
Bernard_Law,Valerie_Harper,False,False
Bertrand_Bonello,Jong_Thae_Hwa,False,False
Bill_Bradley,Chen_Tsai-chin,False,False
Bill_Bradley,Helen_Alvare,False,False
Bill_Elliott,Mary_Anne_Souza,False,False
Bill_Frist,Jimmy_Kimmel,False,False
Bill_Maher,Brad_Russ,False,False
Bill_Maher,Juliette_Binoche,False,True
Bill_Nelson,Kim_Jong-Il,False,False
Bill_Nelson,Gillian_Anderson,False,True
Bill_Stapleton,Sedigh_Barmak,False,True
Bill_Stapleton,Valerie_Harper,False,True
Billy_Bob_Thornton,Herb_Dhaliwal,False,False
Billy_Bob_Thornton,Nong_Duc_Manh,False,False
Bob_Alper,Kevin_Millwood,False,False
Bob_Graham,Dwayne_Wade,False,False
Bob_Petrino,Geraldine_Chaplin,False,False
Bob_Petrino,Jorge_Castaneda,False,False
Boris_Becker,Julianna_Margulies,False,True
Brad_Russ,Hana_Urushima,False,False
Brad_Russ,Romeo_Gigli,False,False
Brawley_King,Tom_Glavine,False,False
Brian_Griese,Jeffrey_Archer,False,False
Brian_Griese,Laura_Elena_Harring,False,True
Brian_Griese,Nicolas_Lapentti,False,False
Bryan_Adams,Michael_Kors,False,False
Bryan_Adams,Mohamed_Seineldin,False,True
Calbert_Cheaney,Ian_Smith,False,False
Calbert_Cheaney,Robert_Downey_Jr,False,False
Carl_Reiner,Hamid_Efendi,False,False
Carl_Reiner,John_Engler,False,False
Carl_Reiner,Prince_Rainier_III,False,False
Carl_Reiner,Tom_Glavine,False,False
Carlo_Azeglio_Ciampi,Francis_Ford_Coppola,False,False
Carlos_Arroyo,Shane_Phillips,False,True
Carlos_Paternina,Emily_Stevens,False,False
Carlos_Paternina,Paul_Sarbanes,False,False
Casey_Mears,Mike_Davis,False,True
Casey_Mears,Yukiko_Okudo,False,False
Cathy_Freeman,William_Martin,False,False
Cecilia_Cheung,Daryl_Parks,False,False
Cecilia_Cheung,Pascal_Affi_Nguessan,False,True
Chen_Tsai-chin,Dereck_Whittenburg,False,False
Chen_Tsai-chin,Mamdouh_Habib,False,False
Cho_Myung-kyun,David_Bell,False,True
Cho_Myung-kyun,Fernando_Sanz,False,True
Cho_Myung-kyun,Georgia_Giddings,False,True
Cho_Myung-kyun,Richard_Fine,False,False
Choi_Yun-yong,Chuck_Eidson,False,False
Chris_Dodd,Taylor_Twellman,False,False
Chris_Swecker,Tom_Vilsack,False,False
Christian_Lacroix,Laura_Elena_Harring,False,False
Christian_Lacroix,Ornella_Muti,False,False
Chuck_Eidson,Sigourney_Weaver,False,False
Clare_Short,Don_Carcieri,False,False
Coco_dEste,Darvis_Patton,False,False
Coco_dEste,Melina_Kanakaredes,False,True
Coco_dEste,Tom_Rouen,False,False
Coleen_Rowley,Nong_Duc_Manh,False,False
Corinne_Coman,Frank_Beamer,False,False
Dale_Earnhardt_Jr,Nick_Reilly,False,True
Dario_Franchitti,Henry_Castellanos,False,False
Darren_Campel,Hilary_McKay,False,False
Darvis_Patton,Gerard_Tronche,False,False
Darvis_Patton,William_Macy,False,False
Daryl_Parks,Guus_Hiddink,False,False
Daryl_Sabara,Nick_Reilly,False,False
Daryl_Sabara,Valentina_Tereshkova,False,False
Dave_Johnson,Howard_Stern,False,False
Dave_Tucker,Gary_Gitnick,False,True
David_Collenette,Salman_Khan,False,False
David_Westerfield,Stan_Kroenke,False,False
Dean_Jacek,Larry_Wilmore,False,False
Demi_Moore,Fred_Thompson,False,False
Demi_Moore,Linus_Roache,False,True
Dereck_Whittenburg,Lindsey_Graham,False,False
Dianne_Reeves,Larry_Wilmore,False,True
Dianne_Reeves,Romeo_Gigli,False,False
Don_Carcieri,Janica_Kostelic,False,False
Dora_Bakoyianni,Richard_Sambrook,False,False
Dora_Bakoyianni,Saeb_Erekat,False,False
Doris_Roberts,Nong_Duc_Manh,False,False
Doug_Wilson,Szu_Yu_Chen,False,True
Douglas_Gansler,Martin_Brooke,False,True
Douglas_Gansler,Ronald_Kadish,False,False
Dwayne_Wade,Mike_Farrar,False,False
Edward_Arsenault,Jim_Hardin,False,False
Einars_Repse,Minnie_Mendoza,False,False
Einars_Repse,Tim_Blake_Nelson,False,True
Elinor_Caplan,Hilary_McKay,False,False
Eliza_Dushku,George_Lucas,False,False
Eliza_Dushku,Itzhak_Perlman,False,False
Emily_Stevens,Janez_Drnovsek,False,False
Emmanuelle_Beart,Phil_Jackson,False,False
Eric_Daze,Sterling_Hitchcock,False,False
Erika_Christensen,Michael_Dell,False,True
Erika_Christensen,Woody_Allen,False,False
Eriko_Tamura,Georgia_Giddings,False,False
Ernie_Grunfeld,Frank_Coraci,False,False
Eugene_Melnyk,Mahima_Chaudhari,False,False
Fatma_Kusibeh,Lee_Baca,False,False
Federico_Trillo,Jonathan_Woodgate,False,False
Fernando_Alonso,Sam_Brownback,False,False
Fernando_Sanz,Miranda_Otto,False,False
Fernando_Sanz,Roy_Moore,False,False
Flor_Montulo,Juan_Pablo_Montoya,False,False
Francisco_Garcia,Marsha_Sharp,False,False
Francois_Ozon,Makiya_Ali_Hassan,False,True
Frank_Coraci,Tomoko_Hagiwara,False,False
Frank_Van_Ecke,Tsutomu_Takebe,False,True
Fred_Thompson,Helen_Alvare,False,False
Fred_Thompson,Sterling_Hitchcock,False,False
Fred_Thompson,Magda_Kertasz,False,False
Garry_Trudeau,Pat_Riley,False,False
Garry_Witherall,Howard_Stern,False,False
Garry_Witherall,Ingrid_Betancourt,False,False
Garry_Witherall,Martin_Keown,False,False
Gary_Gero,Kim_Hong-gul,False,False
Gary_Gero,Phil_Gramm,False,False
Gavin_Degraw,Jeffrey_Archer,False,False
Gene_Robinson,Martha_Bowen,False,False
Georgia_Giddings,Mahima_Chaudhari,False,False
Geovani_Lapentti,Rodney_Rempt,False,False
Geovani_Lapentti,Sam_Brownback,False,False
Gerard_de_Cortanze,Mark_Wahlberg,False,False
Gian_Marco,Kevin_Stallings,False,False
Giancarlo_Fisichella,Maria_Callas,False,False
Gideon_Yago,Natalie_Williams,False,False
Gideon_Yago,Paul_William_Hurley,False,False
Glenn_Plummer,Maria_Garcia,False,False
Grant_Hackett,Todd_Robbins,False,False
Grant_Hackett,Milo_Djukanovic,False,True
Gray_Davis,Karen_Lynn_Gorney,False,True
Gregg_Popovich,Vernon_Forrest,False,False
Gregor_Gysi,Tomoko_Hagiwara,False,False
Guy_Ritchie,Herb_Dhaliwal,False,False
Guy_Ritchie,William_Macy,False,True
Hamid_Efendi,Jimmy_Carter,False,False
Hamzah_Haz,Hilary_McKay,False,False
Harald_Ringstorff,Pat_Riley,False,True
Harald_Ringstorff,Romano_Prodi,False,False
Heather_Chinnock,Jean-Francois_Lemounier,False,True
Helen_Alvare,Milo_Djukanovic,False,False
Henry_Castellanos,Pamela_Anderson,False,False
Henry_Castellanos,Tommy_Shane_Steiner,False,True
Herb_Dhaliwal,Hung_Wan-ting,False,False
Hilary_McKay,Kevin_Millwood,False,False
Howard_Stern,Maria_Callas,False,False
Hugo_Chavez,Karen_Lynn_Gorney,False,False
Hugo_Chavez,Steve_Shiver,False,False
Imam_Samudra,Ivana_Trump,False,False
Imelda_Marcos,Patty_Schnyder,False,False
Jack_Smith,Mary_Jo_Myers,False,False
James_Caan,Paul_Sarbanes,False,False
James_Comey,Juan_Carlos_Morales,False,True
James_Comey,Paul_William_Hurley,False,True
Jamling_Norgay,Zico,False,True
Jan_Pronk,Kim_Dong-hwa,False,False
Janez_Drnovsek,Sterling_Hitchcock,False,False
Janica_Kostelic,Yasushi_Akashi,False,False
Janice_Abreu,Kevin_Sorbo,False,True
Jeffrey_Ashby,Michael_Dell,False,False
Jennifer_Garner,Mike_Duke,False,False
Jennifer_Renee_Short,Taylor_Twellman,False,False
Jerry_Seinfeld,Tim_Blake_Nelson,False,True
Jerry_Tarkanian,Thomas_Rupprath,False,False
Jessica_Lange,Sedigh_Barmak,False,True
Jim_Freudenberg,Nigel_Redden,False,False
Jim_Freudenberg,Tina_Pisnik,False,True
Jim_Haslett,Tsutomu_Takebe,False,False
Jim_Otto,Rafiq_Hariri,False,False
Jimmy_Gurule,Terry_McAuliffe,False,False
Jodie_Foster,Joe_Pantoliano,False,False
John_Herrington,Luis_Ernesto_Derbez_Bautista,False,True
John_Richardson,Yasushi_Akashi,False,False
John_Snow,Se_Hyuk_Joo,False,False
Jonathan_Arden,Joseph_Ralston,False,False
Jorge_Castaneda,Robert_Fico,False,False
Jose_Rosado,Micky_Arison,False,False
Joseph_Blatter,Ronald_Kadish,False,False
Joseph_Ralston,Juan_Pablo_Montoya,False,False
Joseph_Ralston,Yoshiyuki_Kamei,False,False
Juliette_Binoche,Matthew_Broderick,False,True
Julio_De_Brun,Patty_Schnyder,False,False
Julio_De_Brun,Vernon_Forrest,False,False
Justin_Guarini,Prince_Edward,False,False
Kate_Winslet,Mike_Duke,False,False
Katie_Wagner,Stan_Kroenke,False,False
Keith_Lowen,Robert_Evans,False,True
Keith_Lowen,Silvia_Farina_Elia,False,True
Ken_Loach,Taku_Yamasaki,False,False
Kevin_Crane,Mike_Krzyzewski,False,False
Kevin_Millwood,Mitchell_Crooks,False,False
Kim_Clijsters,Martin_Short,False,False
Kim_Hong-gul,Milo_Djukanovic,False,False
Kim_Jong-Il,Rick_Reed,False,False
Lance_Armstrong,Maria_Garcia,False,True
Laurent_Jalabert,Vincent_Gallo,False,False
Leon_LaPorte,Ted_Williams,False,False
Leon_LaPorte,Tommy_Thompson,False,False
Leonardo_Fernandez,Romano_Prodi,False,False
Leticia_Dolera,Tom_Glavine,False,False
Lorraine_Bracco,Momcilo_Perisic,False,False
Luis_Ernesto_Derbez_Bautista,Tyra_Banks,False,False
Maria_Burks,Todd_Parrott,False,False
Mario_Lemieux,Stan_Kroenke,False,False
Mark_Everson,Martin_Sheen,False,True
Marquier_Montano_Contreras,SJ_Twu,False,True
Marsha_Sharp,Steve_Shiver,False,False
Martin_Cauchon,Vitali_Klitschko,False,True
Martin_Hoellwarth,Mary_Katherine_Smart,False,False
Martina_Hingis,Terry_McAuliffe,False,False
Melina_Kanakaredes,Ornella_Muti,False,True
Michael_Dell,Mike_Duke,False,False
Michael_Dell,Nigel_Redden,False,False
Michael_Richards,Silvia_Farina_Elia,False,False
Milan_Kucan,Salman_Khan,False,False
Nancy_Kerrigan,Sam_Brownback,False,True
Naomi_Campbell,Tom_Ridge,False,False
Nina_Jacobson,Portia_de_Rossi,False,True
Noah_Wyle,Robbie_Coltrane,False,False
Nora_Bendijo,William_Martin,False,False
Nursultan_Nazarbayev,Robert_Bonner,False,False
Pascal_Affi_Nguessan,Tom_Moss,False,False
Pat_Summitt,Paul_Celluci,False,False
Patty_Schnyder,Pernilla_Bjorn,False,False
Patty_Schnyder,Prince_Philippe,False,False
Patty_Schnyder,Ricardo_Lagos,False,False
Pervez_Musharraf,Richard_Rodriguez,False,True
Phil_Gramm,Stefan_Tafrov,False,False
Rachel_Kempson,Zorica_Radovic,False,False
Rachel_Roy,Steve_Shiver,False,False
Richard_Fine,Richard_Rodriguez,False,False
Rick_Reed,Ruth_Bader_Ginsburg,False,False
